Categoría,Item,Descripción,Obligatorio,Verificado
ANTES DE ESCRIBIR,Outline aprobado,Revisar que el outline del artículo está completo y aprobado,Sí,
ANTES DE ESCRIBIR,Keywords definidas,Tener clara la keyword principal y secundarias,Sí,
ANTES DE ESCRIBIR,URL asignada,Confirmar el slug/URL del artículo,Sí,
REDACCIÓN,Keyword en H1,La keyword principal aparece en el título H1,Sí,
REDACCIÓN,Keyword en intro,La keyword aparece en el primer párrafo,Sí,
REDACCIÓN,Keyword en H2,Al menos un H2 contiene la keyword o variación,Sí,
REDACCIÓN,Extensión correcta,El artículo cumple con la extensión requerida,Sí,
REDACCIÓN,Sin errores ortográficos,Revisión completa de ortografía y gramática,Sí,
REDACCIÓN,Lenguaje natural,El texto fluye bien y no suena forzado con keywords,Sí,
SEO ON-PAGE,Meta Title,Máximo 60 caracteres con keyword principal,Sí,
SEO ON-PAGE,Meta Description,Máximo 155 caracteres con keyword y llamado a acción,Sí,
SEO ON-PAGE,URL amigable,Slug corto con keyword sin caracteres especiales,Sí,
SEO ON-PAGE,Imagen destacada,Imagen relevante de buena calidad,Sí,
SEO ON-PAGE,Alt text en imágenes,Todas las imágenes tienen texto alternativo descriptivo,Sí,
SEO ON-PAGE,Enlaces internos,Mínimo 2 enlaces a otros artículos del sitio,Sí,
SEO ON-PAGE,CTA final,Llamado a acción al final enlazando a formulario o página pilar,Sí,
SEO ON-PAGE,Encabezados jerárquicos,Uso correcto de H1 H2 H3 en orden,Sí,
WORDPRESS,Categoría asignada,El artículo tiene categoría correcta,Sí,
WORDPRESS,Yoast/RankMath verde,El análisis SEO del plugin está en verde o naranja mínimo,Recomendado,
WORDPRESS,Vista previa móvil,Verificar que se ve bien en móvil,Sí,
WORDPRESS,Links funcionan,Todos los enlaces internos y externos funcionan,Sí,
POST-PUBLICACIÓN,Solicitar indexación,Enviar URL a Google Search Console para indexar,Sí,
POST-PUBLICACIÓN,Compartir en redes,Publicar enlace en redes sociales de la campaña,Recomendado,
POST-PUBLICACIÓN,Actualizar página pilar,Si es artículo de apoyo agregar enlace desde página pilar,Si aplica,
POST-PUBLICACIÓN,Registrar en hoja,Marcar como publicado en el archivo de seguimiento,Sí,
SEGUIMIENTO 7 DÍAS,Verificar indexación,Confirmar que Google indexó la página,Sí,
SEGUIMIENTO 7 DÍAS,Revisar impresiones,Ver impresiones iniciales en Search Console,Recomendado,
SEGUIMIENTO 7 DÍAS,Ajustar si necesario,Mejorar meta description si CTR es bajo,Si aplica,
