Etapa,Prioridad,Artículo,URL Sugerida,Keyword Principal,Keywords Secundarias,Extensión (palabras),Semana,Estado,Responsable,Fecha Publicación,Meta Title (max 60),Meta Description (max 155),H1,H2 - Sección 1,H2 - Sección 2,H2 - Sección 3,H2 - Sección 4,CTA Final,Enlaces Internos A,Indexado,Notas
Principal,1,Andrés Gaviria: Candidato a la Cámara por Antioquia #106,/andres-gaviria-camara-antioquia,andres gaviria camara antioquia,"candidato 106 centro democratico, andres gaviria propuestas, votar 106 antioquia",1500-2000,Semana 1,Pendiente,,,"Andrés Gaviria - Candidato Cámara Antioquia #106","Conoce a Andrés Gaviria, candidato #106 a la Cámara de Representantes por Antioquia. Propuestas de minería, infraestructura, economía y seguridad.",Andrés Gaviria: Candidato a la Cámara de Representantes por Antioquia,¿Quién es Andrés Gaviria?,Mis 4 compromisos con Antioquia,¿Por qué el #106?,Únete a la campaña,Formulario Únete,"Minería, Infraestructura, Economía, Seguridad",No,Página pilar - todo enlaza aquí
Apoyo,2,Minería Legal en Antioquia: Propuestas,/mineria-legal-antioquia,mineria legal antioquia,"sector minero energetico antioquia, mineria responsable colombia, propuestas mineria antioquia",800-1200,Semana 2,Pendiente,,,Minería Legal Antioquia - Propuestas Andrés Gaviria,Propuestas para una minería legal y responsable en Antioquia. Más empleo y desarrollo combatiendo la ilegalidad. Andrés Gaviria #106.,Minería Legal en Antioquia: Por un sector responsable y generador de empleo,El problema: minería ilegal vs desarrollo,Mi propuesta: formalización + inversión responsable,Beneficios para Antioquia,,Formulario Únete,"Página pilar, Economía",No,
Apoyo,2,Infraestructura Vial para Antioquia,/infraestructura-vial-antioquia,infraestructura vial antioquia,"vias terciarias antioquia, carreteras antioquia, conectividad rural antioquia",800-1200,Semana 2,Pendiente,,,Infraestructura Vial Antioquia - Andrés Gaviria #106,Propuestas de infraestructura vial para conectar las regiones de Antioquia. Vías terciarias y progreso. Andrés Gaviria candidato #106.,Infraestructura Vial en Antioquia: Conectar regiones para el progreso,El reto: vías terciarias abandonadas,Mi propuesta desde la Cámara,Regiones beneficiadas,,Formulario Únete,"Página pilar, Economía",No,
Apoyo,2,Empleo y Economía en Antioquia,/empleo-economia-antioquia,empleo formal antioquia,"economia antioquia 2026, competitividad antioquia, propuestas empleo",800-1200,Semana 2,Pendiente,,,Empleo y Economía Antioquia - Propuestas Andrés Gaviria,Propuestas para generar empleo formal y fortalecer la economía de Antioquia. Menos trabas más oportunidades. Andrés Gaviria #106.,Empleo y Economía en Antioquia: Propuestas para crecer,El problema: informalidad y barreras,Mi propuesta: reglas claras para producir,Antioquia productiva,,Formulario Únete,"Página pilar, Minería, Infraestructura",No,
Apoyo,2,Seguridad en Antioquia: Propuestas,/seguridad-antioquia,seguridad antioquia propuestas,"seguridad ciudadana antioquia, propuestas seguridad medellin, autoridad policia",800-1200,Semana 2,Pendiente,,,Seguridad Antioquia - Propuestas Andrés Gaviria #106,Sin seguridad no hay libertad. Propuestas de seguridad ciudadana para Antioquia. Respaldo a la autoridad. Andrés Gaviria #106.,Seguridad en Antioquia: Respaldo a la autoridad y protección ciudadana,La situación actual,Mi posición: respaldo firme a la autoridad,Antioquia segura para trabajar y vivir,,Formulario Únete,Página pilar,No,
Secundario,3,¿Cómo votar a la Cámara de Representantes en 2026?,/como-votar-camara-representantes-2026,como votar camara de representantes,"votar camara 2026, tarjeton camara colombia, paso a paso votar",600-800,Semana 3,Pendiente,,,Cómo Votar Cámara de Representantes 2026 - Guía,Guía paso a paso para votar a la Cámara de Representantes el 8 de marzo 2026. Consulta tu puesto y conoce el tarjetón.,¿Cómo votar a la Cámara de Representantes en 2026?,¿Qué es la Cámara de Representantes?,Paso a paso para votar,¿Cómo es el tarjetón de Cámara?,Conoce a Andrés Gaviria #106,Página pilar,Página pilar,No,Incluir imagen del tarjetón
Secundario,3,¿Qué hace un Representante a la Cámara?,/que-hace-representante-camara,que hace un representante a la camara,"funciones camara de representantes, representante a la camara colombia",600-800,Semana 3,Pendiente,,,Qué Hace un Representante a la Cámara - Funciones,¿Qué hace un Representante a la Cámara? Conoce las funciones legislativas y cómo benefician a Antioquia. Andrés Gaviria #106.,¿Qué hace un Representante a la Cámara?,Funciones principales,¿Cómo beneficia a Antioquia?,Diferencia con el Senado,Andrés Gaviria: Mi compromiso,Página pilar,Página pilar,No,
Secundario,3,Elecciones Legislativas 2026: Guía Completa,/elecciones-legislativas-2026-colombia,elecciones legislativas 2026 colombia,"elecciones congreso 2026, cuando son elecciones 2026, 8 marzo 2026",600-800,Semana 3,Pendiente,,,Elecciones Legislativas 2026 Colombia - Guía Completa,Todo sobre las elecciones legislativas del 8 de marzo 2026. Qué se elige calendario electoral y cómo prepararte para votar.,Elecciones Legislativas 2026: Guía completa,¿Qué se elige el 8 de marzo?,Calendario electoral,¿Cómo prepararte para votar?,Candidatos destacados en Antioquia,Página pilar,"Página pilar, Cómo votar",No,
Secundario,4,Candidatos a la Cámara por Antioquia 2026,/candidatos-camara-antioquia-2026,candidatos camara antioquia 2026,"lista candidatos camara antioquia, camara de representantes antioquia",600-800,Semana 4,Pendiente,,,Candidatos Cámara Antioquia 2026 - Lista Completa,Lista de candidatos a la Cámara de Representantes por Antioquia 2026. Conoce las opciones y elige con información.,Candidatos a la Cámara por Antioquia 2026,¿Cuántos representantes elige Antioquia?,Partidos y movimientos,Centro Democrático: Andrés Gaviria #106,¿Cómo elegir a tu candidato?,Página pilar,Página pilar,No,Destacar a Andrés Gaviria
Secundario,4,¿Cómo consultar mi puesto de votación en Antioquia?,/consultar-puesto-votacion-antioquia,puesto de votacion antioquia,"consultar puesto votacion, donde votar antioquia, registraduria puesto",600-800,Semana 4,Pendiente,,,Consultar Puesto de Votación Antioquia 2026,¿Dónde votas el 8 de marzo? Consulta tu puesto de votación en Antioquia paso a paso. Guía actualizada 2026.,¿Cómo consultar mi puesto de votación en Antioquia?,Paso a paso en la Registraduría,Documentos necesarios,Horarios de votación,Vota por Andrés Gaviria #106,Página pilar,"Página pilar, Cómo votar",No,Incluir enlace a Registraduría
Secundario,4,Centro Democrático en Antioquia: Candidatos 2026,/centro-democratico-antioquia-2026,centro democratico antioquia,"candidatos centro democratico 2026, partido centro democratico antioquia",600-800,Semana 4,Pendiente,,,Centro Democrático Antioquia - Candidatos 2026,Candidatos del Centro Democrático a la Cámara por Antioquia 2026. Conoce a Andrés Gaviria #106 y sus propuestas.,Centro Democrático en Antioquia: Candidatos 2026,El partido en Antioquia,Andrés Gaviria #106: Perfil y propuestas,Por qué votar Centro Democrático,Únete a la campaña,Página pilar + Formulario,Página pilar,No,
Secundario,4,8 de Marzo 2026: Guía del día de elecciones,/elecciones-8-marzo-2026-guia,8 marzo 2026 elecciones,"dia elecciones colombia 2026, horario votacion 2026, jornada electoral",600-800,Semana 4,Pendiente,,,8 de Marzo 2026 - Guía Día de Elecciones Colombia,Guía completa para el día de elecciones 8 de marzo 2026. Horarios documentos y todo lo que necesitas saber para votar.,8 de Marzo 2026: Guía completa del día de elecciones,Horario de votación,Qué llevar el día de elecciones,Recomendaciones para votar,Vota #106 Andrés Gaviria,Página pilar,"Página pilar, Puesto votación, Cómo votar",No,
