Clúster,Keyword,Tipo,Prioridad,Artículo Destino,Intención de Búsqueda
Candidato Electoral,andres gaviria camara antioquia,Principal,Alta,Página Pilar,Navegacional - Buscan al candidato
Candidato Electoral,candidato 106 centro democratico antioquia,Principal,Alta,Página Pilar,Navegacional - Buscan por número
Candidato Electoral,andres gaviria propuestas,Principal,Alta,Página Pilar,Informacional - Quieren conocer propuestas
Candidato Electoral,votar 106 antioquia,Principal,Media,Página Pilar,Transaccional - Listos para votar
Candidato Electoral,candidatos camara antioquia 2026,Secundaria,Alta,Candidatos Cámara Antioquia,Informacional - Comparando opciones
Candidato Electoral,elecciones camara antioquia 2026,Secundaria,Alta,Elecciones Legislativas 2026,Informacional - Contexto electoral
Candidato Electoral,centro democratico antioquia candidatos,Secundaria,Media,Centro Democrático Antioquia,Informacional - Buscan partido
Candidato Electoral,representantes a la camara antioquia,Secundaria,Media,Qué hace un Representante,Informacional - Entendiendo el cargo
Propuestas,mineria legal antioquia,Principal,Alta,Minería Legal Antioquia,Informacional - Interés en tema
Propuestas,sector minero energetico antioquia,Secundaria,Media,Minería Legal Antioquia,Informacional - Sector específico
Propuestas,mineria responsable colombia,Secundaria,Media,Minería Legal Antioquia,Informacional - Tema nacional
Propuestas,infraestructura vial antioquia,Principal,Alta,Infraestructura Vial Antioquia,Informacional - Interés en tema
Propuestas,vias terciarias antioquia,Secundaria,Alta,Infraestructura Vial Antioquia,Informacional - Problema específico
Propuestas,conectividad rural antioquia,Secundaria,Media,Infraestructura Vial Antioquia,Informacional - Necesidad regional
Propuestas,empleo formal antioquia,Principal,Alta,Empleo y Economía Antioquia,Informacional - Preocupación ciudadana
Propuestas,economia antioquia 2026,Secundaria,Media,Empleo y Economía Antioquia,Informacional - Contexto económico
Propuestas,competitividad antioquia,Secundaria,Media,Empleo y Economía Antioquia,Informacional - Desarrollo regional
Propuestas,seguridad antioquia propuestas,Principal,Alta,Seguridad Antioquia,Informacional - Tema prioritario
Propuestas,seguridad ciudadana antioquia,Secundaria,Alta,Seguridad Antioquia,Informacional - Preocupación local
Informativo,como votar camara de representantes,Principal,Alta,Cómo Votar Cámara 2026,Informacional - Necesitan guía
Informativo,votar camara 2026,Secundaria,Alta,Cómo Votar Cámara 2026,Informacional - Búsqueda directa
Informativo,tarjeton camara colombia,Secundaria,Media,Cómo Votar Cámara 2026,Informacional - Entender papeleta
Informativo,que hace un representante a la camara,Principal,Alta,Qué Hace un Representante,Informacional - Educativo
Informativo,funciones camara de representantes,Secundaria,Alta,Qué Hace un Representante,Informacional - Educativo
Informativo,elecciones legislativas 2026 colombia,Principal,Alta,Elecciones Legislativas 2026,Informacional - Contexto nacional
Informativo,cuando son elecciones 2026,Secundaria,Alta,Elecciones Legislativas 2026,Informacional - Fecha
Informativo,8 marzo 2026 elecciones,Principal,Media,Guía 8 de Marzo,Informacional - Día específico
Informativo,puesto de votacion antioquia,Principal,Alta,Consultar Puesto Votación,Transaccional - Acción inmediata
Informativo,consultar puesto votacion,Secundaria,Alta,Consultar Puesto Votación,Transaccional - Acción inmediata
Informativo,donde votar antioquia,Secundaria,Media,Consultar Puesto Votación,Transaccional - Ubicación
Informativo,centro democratico antioquia,Principal,Media,Centro Democrático Antioquia,Informacional - Partido
Informativo,candidatos centro democratico 2026,Secundaria,Media,Centro Democrático Antioquia,Informacional - Lista partido
Informativo,horario votacion 2026,Secundaria,Media,Guía 8 de Marzo,Informacional - Logística
Informativo,jornada electoral 2026,Secundaria,Baja,Guía 8 de Marzo,Informacional - Contexto
